0IL5,OSF St Luke Medical Center Heliport
0IL6,Kishwaukee Community Hospital Heliport
0IL7,Davis Restricted Landing Area
0IL8,Walter Airport
0IL9,Jack W Watson Airport
0IN1,Snider Field
0IN2,The Lazy K Airport
0IN3,Graves Landing Strip
0IN4,Air Park Field
0IN5,Byrne Field
0IN7,Roto-Whirl/Holiday Heliport
0IN8,Roto-Whirl/Vantage Heliport
0IN9,Parrish Airport
0IS0,Trinity Medical Center West Heliport
0IS2,Evanston/Glenbrook Heliport
0IS3,Cady Aerial RLA Restricted Landing Area
0IS4,Dawson Farms Airport
0IS6,Dongola Heliport
0IS8,Blessing Hospital At 11th St Heliport
0IS9,Bernardin Heliport
0J0,Abbeville Municipal Airport
0J8,Flying Ten Airport
0JY9,Fleming County Hospital Heliport
0K6,Dobie's Airport
0KS0,J V Ranch Airport
0KS2,Kellie Mann Airfield
0KS3,Camp Chippewa Airport
0KS4,Norris Airport
0KS5,Oasis Aerodrome
0KS6,Kendrigan Airport
0KS7,Mono Aircraft Airport
0KS8,Pearce Field
0KS9,Lmn 120 Airport
0KY0,Owen Air Park
0KY1,Arnemann Farms Airport
0KY2,Mgt Station 2105 Heliport
0KY3,Tennessee Gas Heliport
0KY4,Cambron Field
0KY5,Boyce Wafer Farm Airport
0KY6,Tennessee Gas Heliport
0KY7,Clinton-Hickman County Airport
0KY8,Sky Airport
0KY9,Pine Mountain Aero Heliport
0L4,Lida Junction Airport
0L5,Goldfield Airport
0L6,Winn Parish Medical Center Heliport
0LA0,West Hackberry Heliport
0LA1,Double H Ranch Airport
0LA2,Don Babin-Private Airport
0LA3,Belcher Airpatch Airport
0LA4,North Caddo Medical Center Heliport
0LA5,Conoco Inc Heliport
0LA6,Freeport Sulphur Heliport
0LA7,Exxon Heliport
0LA8,Jackson Parish Hospital Heliport
0LA9,Rebel Field
0LL0,Kaufield Airport
0LL1,Jerseyville Aviation Inc Airport
